pregunta,respuesta
"¿cuál es mi horario de clases para hoy?","Hoy tienes Matemáticas a las 9:00 AM, Física a las 11:00 AM y Literatura a las 2:00 PM."
"¿dónde se encuentra el salón para la clase de matemáticas?","La clase de Matemáticas se realiza en el salón B12 del edificio principal."
"¿qué asignaturas tengo este semestre?","Este semestre estás inscrito en Matemáticas, Física, Literatura, Historia y Química."
"¿cuándo es el próximo examen de química?","Tu próximo examen de Química es el viernes 24 de marzo a las 10:00 AM."
"¿puedes mostrarme mi plan de estudios?","Tu plan de estudios incluye asignaturas obligatorias y electivas. Visita tu perfil en el portal del estudiante para más detalles."
"¿dónde puedo encontrar los libros de texto para mi curso de historia?","Los libros de texto para Historia están disponibles en la biblioteca central y en el portal de recursos académicos online."
"¿hay recursos adicionales disponibles para el curso de física?","Sí, hay vídeos y tutoriales online disponibles en la plataforma de aprendizaje."
"¿cuáles son las fechas límites para las entregas de mis proyectos?","Las fechas límites varían por asignatura, por favor consulta el calendario académico en el portal del estudiante."
"¿cuándo comienza el periodo de matrícula para el próximo semestre?","El periodo de matrícula para el próximo semestre comienza el 15 de abril."
"¿cómo puedo contactar al departamento de registro académico?","Puedes contactar al departamento de registro académico enviando un email a registro@ustatunja.edu.co o visitando la oficina en el edificio administrativo."
"¿necesito algún formulario específico para retirar una asignatura?","Sí, necesitas completar el formulario de retiro de asignaturas disponible en el portal del estudiante."
"¿cómo puedo solicitar una beca?","Para solicitar una beca, visita el departamento de servicios estudiantiles y revisa los requisitos y procedimientos."
"estoy teniendo problemas para acceder al portal del estudiante, ¿qué puedo hacer?","Por favor, intenta restablecer tu contraseña. Si el problema persiste, contacta al soporte técnico."
"¿cómo cambio mi contraseña del correo universitario?","Puedes cambiar tu contraseña a través de las configuraciones de seguridad en tu perfil de correo electrónico."
"¿qué eventos están programados para este mes en la universidad?","Este mes tenemos un torneo deportivo y varios talleres académicos. Consulta el calendario de eventos para más detalles."
"¿cómo puedo unirme al club de robótica?","Para unirte al club de robótica, asiste a la próxima reunión informativa que se anunciará en los avisos universitarios."
"¿hay actividades de voluntariado disponibles este semestre?","Sí, hay varias actividades de voluntariado. Visita el centro de actividades estudiantiles para inscribirte."
"¿dónde está el centro de salud del campus?","El centro de salud se encuentra detrás del edificio de aulas nuevas, cerca de la cafetería."
"¿hay algún taller de manejo del estrés para estudiantes?","Sí, hay talleres de manejo del estrés cada mes. Las fechas están disponibles en el portal de bienestar estudiantil."
"¿cómo puedo evaluar a mi profesor de filosofía?","Puedes evaluar a tus profesores al final del semestre a través de la encuesta de evaluación docente en tu portal del estudiante."
"¿dónde puedo dejar una sugerencia para mejorar las instalaciones del campus?","Puedes dejar tus sugerencias en la oficina de servicios estudiantiles o a través del formulario en línea en nuestro sitio web."
"¿qué debo hacer en caso de una emergencia en el campus?","En caso de emergencia, sigue las instrucciones de los procedimientos de seguridad y reporta a la seguridad del campus inmediatamente."
"¿dónde encuentro el plan de evacuación del edificio de ingeniería?","Los planes de evacuación están ubicados en cada entrada principal del edificio de Ingeniería y en el portal de seguridad del campus."
